age,age_start,age_end,exact_age,age_label,age_group_5y,age_group_gbd,is_open_age,sort_order
0,0,0,0,0,<1,<1 year,FALSE,1
1,1,1,1,1,1-4,1-4 years,FALSE,2
2,2,2,2,2,1-4,1-4 years,FALSE,3
3,3,3,3,3,1-4,1-4 years,FALSE,4
4,4,4,4,4,1-4,1-4 years,FALSE,5
5,5,5,5,5,5-9,5-9 years,FALSE,6
6,6,6,6,6,5-9,5-9 years,FALSE,7
7,7,7,7,7,5-9,5-9 years,FALSE,8
8,8,8,8,8,5-9,5-9 years,FALSE,9
9,9,9,9,9,5-9,5-9 years,FALSE,10
10,10,10,10,10,10-14,10-14 years,FALSE,11
11,11,11,11,11,10-14,10-14 years,FALSE,12
12,12,12,12,12,10-14,10-14 years,FALSE,13
13,13,13,13,13,10-14,10-14 years,FALSE,14
14,14,14,14,14,10-14,10-14 years,FALSE,15
15,15,15,15,15,15-19,15-19 years,FALSE,16
16,16,16,16,16,15-19,15-19 years,FALSE,17
17,17,17,17,17,15-19,15-19 years,FALSE,18
18,18,18,18,18,15-19,15-19 years,FALSE,19
19,19,19,19,19,15-19,15-19 years,FALSE,20
20,20,20,20,20,20-24,20-24 years,FALSE,21
21,21,21,21,21,20-24,20-24 years,FALSE,22
22,22,22,22,22,20-24,20-24 years,FALSE,23
23,23,23,23,23,20-24,20-24 years,FALSE,24
24,24,24,24,24,20-24,20-24 years,FALSE,25
25,25,25,25,25,25-29,25-29 years,FALSE,26
26,26,26,26,26,25-29,25-29 years,FALSE,27
27,27,27,27,27,25-29,25-29 years,FALSE,28
28,28,28,28,28,25-29,25-29 years,FALSE,29
29,29,29,29,29,25-29,25-29 years,FALSE,30
30,30,30,30,30,30-34,30-34 years,FALSE,31
31,31,31,31,31,30-34,30-34 years,FALSE,32
32,32,32,32,32,30-34,30-34 years,FALSE,33
33,33,33,33,33,30-34,30-34 years,FALSE,34
34,34,34,34,34,30-34,30-34 years,FALSE,35
35,35,35,35,35,35-39,35-39 years,FALSE,36
36,36,36,36,36,35-39,35-39 years,FALSE,37
37,37,37,37,37,35-39,35-39 years,FALSE,38
38,38,38,38,38,35-39,35-39 years,FALSE,39
39,39,39,39,39,35-39,35-39 years,FALSE,40
40,40,40,40,40,40-44,40-44 years,FALSE,41
41,41,41,41,41,40-44,40-44 years,FALSE,42
42,42,42,42,42,40-44,40-44 years,FALSE,43
43,43,43,43,43,40-44,40-44 years,FALSE,44
44,44,44,44,44,40-44,40-44 years,FALSE,45
45,45,45,45,45,45-49,45-49 years,FALSE,46
46,46,46,46,46,45-49,45-49 years,FALSE,47
47,47,47,47,47,45-49,45-49 years,FALSE,48
48,48,48,48,48,45-49,45-49 years,FALSE,49
49,49,49,49,49,45-49,45-49 years,FALSE,50
50,50,50,50,50,50-54,50-54 years,FALSE,51
51,51,51,51,51,50-54,50-54 years,FALSE,52
52,52,52,52,52,50-54,50-54 years,FALSE,53
53,53,53,53,53,50-54,50-54 years,FALSE,54
54,54,54,54,54,50-54,50-54 years,FALSE,55
55,55,55,55,55,55-59,55-59 years,FALSE,56
56,56,56,56,56,55-59,55-59 years,FALSE,57
57,57,57,57,57,55-59,55-59 years,FALSE,58
58,58,58,58,58,55-59,55-59 years,FALSE,59
59,59,59,59,59,55-59,55-59 years,FALSE,60
60,60,60,60,60,60-64,60-64 years,FALSE,61
61,61,61,61,61,60-64,60-64 years,FALSE,62
62,62,62,62,62,60-64,60-64 years,FALSE,63
63,63,63,63,63,60-64,60-64 years,FALSE,64
64,64,64,64,64,60-64,60-64 years,FALSE,65
65,65,65,65,65,65-69,65-69 years,FALSE,66
66,66,66,66,66,65-69,65-69 years,FALSE,67
67,67,67,67,67,65-69,65-69 years,FALSE,68
68,68,68,68,68,65-69,65-69 years,FALSE,69
69,69,69,69,69,65-69,65-69 years,FALSE,70
70,70,70,70,70,70-74,70-74 years,FALSE,71
71,71,71,71,71,70-74,70-74 years,FALSE,72
72,72,72,72,72,70-74,70-74 years,FALSE,73
73,73,73,73,73,70-74,70-74 years,FALSE,74
74,74,74,74,74,70-74,70-74 years,FALSE,75
75,75,75,75,75,75-79,75-79 years,FALSE,76
76,76,76,76,76,75-79,75-79 years,FALSE,77
77,77,77,77,77,75-79,75-79 years,FALSE,78
78,78,78,78,78,75-79,75-79 years,FALSE,79
79,79,79,79,79,75-79,75-79 years,FALSE,80
80,80,80,80,80,80-84,80-84 years,FALSE,81
81,81,81,81,81,80-84,80-84 years,FALSE,82
82,82,82,82,82,80-84,80-84 years,FALSE,83
83,83,83,83,83,80-84,80-84 years,FALSE,84
84,84,84,84,84,80-84,80-84 years,FALSE,85
85,85,85,85,85,85-89,85-89 years,FALSE,86
86,86,86,86,86,85-89,85-89 years,FALSE,87
87,87,87,87,87,85-89,85-89 years,FALSE,88
88,88,88,88,88,85-89,85-89 years,FALSE,89
89,89,89,89,89,85-89,85-89 years,FALSE,90
90,90,90,90,90,90-94,90-94 years,FALSE,91
91,91,91,91,91,90-94,90-94 years,FALSE,92
92,92,92,92,92,90-94,90-94 years,FALSE,93
93,93,93,93,93,90-94,90-94 years,FALSE,94
94,94,94,94,94,90-94,90-94 years,FALSE,95
95,95,95,95,95,95-99,95-99 years,FALSE,96
96,96,96,96,96,95-99,95-99 years,FALSE,97
97,97,97,97,97,95-99,95-99 years,FALSE,98
98,98,98,98,98,95-99,95-99 years,FALSE,99
99,99,99,99,99,95-99,95-99 years,FALSE,100
100,100,100,100,100,100-104,100-104 years,FALSE,101
101,101,101,101,101,100-104,100-104 years,FALSE,102
102,102,102,102,102,100-104,100-104 years,FALSE,103
103,103,103,103,103,100-104,100-104 years,FALSE,104
104,104,104,104,104,100-104,100-104 years,FALSE,105
105,105,105,105,105,105-109,105-109 years,FALSE,106
106,106,106,106,106,105-109,105-109 years,FALSE,107
107,107,107,107,107,105-109,105-109 years,FALSE,108
108,108,108,108,108,105-109,105-109 years,FALSE,109
109,109,109,109,109,105-109,105-109 years,FALSE,110
110,110,110,110,110+,110+,110+ years,TRUE,111
